State;Filed week ended;Continued Claims;Covered Employment
Iowa;11/16/2019;13285;1529213
Iowa;11/23/2019;15608;1529213
Iowa;11/30/2019;15536;1529213
Iowa;12/7/2019;20394;1529213
Iowa;12/14/2019;2008;1529213
Iowa;12/21/2019;22119;1529213
Iowa;12/28/2019;25963;1529213
Kansas;1/5/2019;11601;1347587
Kansas;1/12/2019;11583;1351006
Kansas;01/19/2019;10975;1351006
Kansas;01/26/2019;12051;1351006
Kansas;2/2/2019;12743;1351006
Kansas;2/9/2019;12281;1351006
Kansas;02/16/2019;12274;1351006
Kansas;02/23/2019;118;1351006
Kansas;3/2/2019;12141;1351006
Kansas;3/9/2019;11479;1351006
Kansas;03/16/2019;11193;1351006
Kansas;03/23/2019;10886;1351006
Kansas;03/30/2019;9195;1351006
Kansas;4/6/2019;8643;1351006
Kansas;04/13/2019;7999;1354497
Kansas;04/20/2019;7767;1354498
Kansas;04/27/2019;7649;1354497
Kansas;5/4/2019;7589;1354497
Kansas;5/11/2019;8253;1354497
Kansas;05/18/2019;8083;1354497
Kansas;05/25/2019;7711;1354497
Kansas;6/1/2019;8257;1354497
Kansas;6/8/2019;811;1354497
Kansas;06/15/2019;7857;1354497
Kansas;06/22/2019;8149;1354497
Kansas;06/29/2019;7871;1354497
Kansas;7/6/2019;7914;1354497
Kansas;07/13/2019;8316;1357246
Kansas;07/20/2019;9472;1357246
Kansas;07/27/2019;9308;1357246
Kansas;8/3/2019;8779;1357246
Kansas;8/10/2019;85;1357246
Kansas;08/17/2019;8222;1357246
Kansas;08/24/2019;7509;1357246
Kansas;08/31/2019;7473;1357246
Kansas;9/7/2019;7639;1357246
Kansas;09/14/2019;7366;1357246
Kansas;09/21/2019;6843;1357246
Kansas;09/28/2019;7643;1357246
Kansas;10/5/2019;7417;1357246
Kansas;10/12/2019;7198;1359781
Kansas;10/19/2019;7269;1359781
Kansas;10/26/2019;7126;1359781
Kansas;11/2/2019;7279;1359781
Kansas;11/9/2019;7093;1359781
Kansas;11/16/2019;6982;1359781
Kansas;11/23/2019;7345;1359781
Kansas;11/30/2019;7258;1359781
Kansas;12/7/2019;8246;1359781
Kansas;12/14/2019;8077;1359781
Kansas;12/21/2019;8562;1359781
Kansas;12/28/2019;9525;1359781
Kentucky;1/5/2019;10142;1876412
Kentucky;1/12/2019;22486;1879936
Kentucky;01/19/2019;20298;1879936
Kentucky;01/26/2019;2096;1879936
Kentucky;2/2/2019;20801;1879936
Kentucky;2/9/2019;22688;1879936
Kentucky;02/16/2019;21514;1879936
Kentucky;02/23/2019;22762;1879936
Kentucky;3/2/2019;23662;1879936
Kentucky;3/9/2019;21175;1879936
Kentucky;03/16/2019;20145;1879936
Kentucky;03/23/2019;20317;1879936
Kentucky;03/30/2019;18417;1879936
Kentucky;4/6/2019;18087;1879936
Kentucky;04/13/2019;16778;1883260
Kentucky;04/20/2019;17427;1883260
Kentucky;04/27/2019;15765;1883260
Kentucky;5/4/2019;16169;1883260
Kentucky;5/11/2019;15342;1883260
Kentucky;05/18/2019;15678;1883260
Kentucky;05/25/2019;15638;1883260
Kentucky;6/1/2019;16305;1883260
Kentucky;6/8/2019;16309;1883260
Kentucky;06/15/2019;16535;1883260
Kentucky;06/22/2019;16608;1883260
Kentucky;06/29/2019;16599;1883260
Kentucky;7/6/2019;17838;1883260
Kentucky;07/13/2019;17861;1886070
Kentucky;07/20/2019;17747;1886070
Kentucky;07/27/2019;17985;1886070
Kentucky;8/3/2019;17628;1886070
Kentucky;8/10/2019;17397;1886070
Kentucky;08/17/2019;1682;1886070
Kentucky;08/24/2019;17311;1886070
Kentucky;08/31/2019;1672;1886070
Kentucky;9/7/2019;6623;1886070
Kentucky;09/14/2019;16422;1886070
Kentucky;09/21/2019;16015;1886070
Kentucky;09/28/2019;15505;1886070
Kentucky;10/5/2019;15963;1886070
Kentucky;10/12/2019;15643;1889353
Kentucky;10/19/2019;15598;1889353
Kentucky;10/26/2019;16216;1889353
Kentucky;11/2/2019;16702;1889353
Kentucky;11/9/2019;15722;1889353
Kentucky;11/16/2019;15979;1889353
Kentucky;11/23/2019;15599;1889353
Kentucky;11/30/2019;15003;1889353
Kentucky;12/7/2019;18823;1889353
Kentucky;12/14/2019;17264;1889353
Kentucky;12/21/2019;18879;1889353
Kentucky;12/28/2019;18489;1889353
Louisiana;1/5/2019;15954;1876044
Louisiana;1/12/2019;15999;1878839
Louisiana;01/19/2019;15851;1878839
Louisiana;01/26/2019;15866;1878839
Louisiana;2/2/2019;16467;1878839
Louisiana;2/9/2019;1573;1878839
Louisiana;02/16/2019;14607;1878839
Louisiana;02/23/2019;15317;1878839
Louisiana;3/2/2019;15535;1878839
Louisiana;3/9/2019;14565;1878839
Louisiana;03/16/2019;14268;1878839
Louisiana;03/23/2019;14074;1878839
Louisiana;03/30/2019;14283;1878839
Louisiana;4/6/2019;13668;1878839
Louisiana;04/13/2019;13414;1882518
Louisiana;04/20/2019;13218;1882518
Louisiana;04/27/2019;13136;1882518
Louisiana;5/4/2019;13841;1882518
Louisiana;5/11/2019;13409;1882518
Louisiana;05/18/2019;13389;1882518
Louisiana;05/25/2019;13528;1882518
Louisiana;6/1/2019;14745;1882518
Louisiana;6/8/2019;15358;1882518
Louisiana;06/15/2019;16384;1882518
Louisiana;06/22/2019;1663;1882518
Louisiana;06/29/2019;17617;1882518
Louisiana;7/6/2019;17097;1882518
Louisiana;07/13/2019;17408;1887439
Louisiana;07/20/2019;17688;1887439
Louisiana;07/27/2019;1774;1887439
Louisiana;8/3/2019;18179;1887439
Louisiana;8/10/2019;17513;1887439
Louisiana;08/17/2019;16787;1887439
Louisiana;08/24/2019;16141;1887439
Louisiana;08/31/2019;15678;1887439
Louisiana;9/7/2019;15215;1887439
Louisiana;09/14/2019;14792;1887439
Louisiana;09/21/2019;14515;1887439
Louisiana;09/28/2019;14054;1887439
Louisiana;10/5/2019;14153;1887439
Louisiana;10/12/2019;1342;1890973
Louisiana;10/19/2019;13383;1890973
Louisiana;10/26/2019;13445;1890973
Louisiana;11/2/2019;13852;1890973
Louisiana;11/9/2019;1341;1890973
Louisiana;11/16/2019;13675;1890973
Louisiana;11/23/2019;13955;1890973
Louisiana;11/30/2019;14451;1890973
Louisiana;12/7/2019;14563;1890973
Louisiana;12/14/2019;14705;1890973
Louisiana;12/21/2019;15358;1890973
Louisiana;12/28/2019;1527;1890973
Maine;1/5/2019;7349;595363
Maine;1/12/2019;8445;596934
Maine;01/19/2019;8155;596934
Maine;01/26/2019;8247;596934
Maine;2/2/2019;8778;596934
Maine;2/9/2019;8671;596934
Maine;02/16/2019;8696;596934
Maine;02/23/2019;8645;596934
Maine;3/2/2019;9003;596934
Maine;3/9/2019;851;596934
Maine;03/16/2019;8493;596934
Maine;03/23/2019;8166;596934
Maine;03/30/2019;8353;596934
Maine;4/6/2019;7613;596934
Maine;04/13/2019;7191;598159
Maine;04/20/2019;6947;598159
Maine;04/27/2019;6734;598159
Maine;5/4/2019;6045;598159
Maine;5/11/2019;5383;598159
Maine;05/18/2019;4932;598159
Maine;05/25/2019;4771;598159
Maine;6/1/2019;4312;598159
Maine;6/8/2019;4327;598159
Maine;06/15/2019;3988;598159
Maine;06/22/2019;4096;598159
Maine;06/29/2019;3966;598159
Maine;7/6/2019;3783;598159
Maine;07/13/2019;4301;600187
Maine;07/20/2019;4025;600187
Maine;07/27/2019;4072;600187
Maine;8/3/2019;3817;600187
Maine;8/10/2019;3779;600187
Maine;08/17/2019;368;600187
Maine;08/24/2019;3613;600187
Maine;08/31/2019;3405;600187
Maine;9/7/2019;3096;600187
Maine;09/14/2019;2966;600187
Maine;09/21/2019;2965;600187
Maine;09/28/2019;291;600187
Maine;10/5/2019;296;600187
Maine;10/12/2019;3022;601875
Maine;10/19/2019;2938;601875
Maine;10/26/2019;3213;601875
Maine;11/2/2019;331;601875
Maine;11/9/2019;3426;601875
Maine;11/16/2019;386;601875
Maine;11/23/2019;4379;601875
Maine;11/30/2019;455;601875
Maine;12/7/2019;5383;601875
Maine;12/14/2019;5657;601875
Maine;12/21/2019;5763;601875
Maine;12/28/2019;59;601875
Maryland;1/5/2019;33251;2515703
Maryland;1/12/2019;3248;2526008
Maryland;01/19/2019;32879;2526008
Maryland;01/26/2019;33817;2526008
Maryland;2/2/2019;34359;2526008
Maryland;2/9/2019;33439;2526008
Maryland;02/16/2019;32645;2526008
Maryland;02/23/2019;32382;2526008
Maryland;3/2/2019;32168;2526008
Maryland;3/9/2019;31246;2526008
Maryland;03/16/2019;30617;2526008
Maryland;03/23/2019;28913;2526008
Maryland;03/30/2019;28207;2526008
Maryland;4/6/2019;26559;2526008
Maryland;04/13/2019;25494;2535812
Maryland;04/20/2019;2478;2535812
Maryland;04/27/2019;25013;2535812
Maryland;5/4/2019;23732;2535812
Maryland;5/11/2019;23197;2535812
Maryland;05/18/2019;21892;2535812
Maryland;05/25/2019;24632;2535812
Maryland;6/1/2019;25059;2535812
Maryland;6/8/2019;25252;2535812
Maryland;06/15/2019;25397;2535812
Maryland;06/22/2019;25762;2535812
Maryland;06/29/2019;27803;2535812
Maryland;7/6/2019;2863;2535812
Maryland;07/13/2019;29481;2542023
Maryland;07/20/2019;28817;2542023
Maryland;07/27/2019;28894;2542023
Maryland;8/3/2019;28805;2542023
Maryland;8/10/2019;28987;2542023
Maryland;08/17/2019;29301;2542023
Maryland;08/24/2019;28962;2542023
Maryland;08/31/2019;28495;2542023
Maryland;9/7/2019;26541;2542023
Maryland;09/14/2019;23672;2542023
Maryland;09/21/2019;23084;2542023
Maryland;09/28/2019;22826;2542023
Maryland;10/5/2019;21017;2542023
Maryland;10/12/2019;21072;2547265
Maryland;10/19/2019;21097;2547265
Maryland;10/26/2019;21327;2547265
Maryland;11/2/2019;21654;2547265
Maryland;11/9/2019;21922;2547265
Maryland;11/16/2019;22346;2547265
Maryland;11/23/2019;22771;2547265
Maryland;11/30/2019;22187;2547265
Maryland;12/7/2019;24529;2547265
Maryland;12/14/2019;24063;2547265
Maryland;12/21/2019;24682;2547265
Maryland;12/28/2019;25879;2547265
Massachusetts;1/5/2019;79688;3501425
Massachusetts;1/12/2019;80205;3513404
Massachusetts;01/19/2019;79684;3513404
Massachusetts;01/26/2019;80947;3513404
Massachusetts;2/2/2019;82169;3513404
Massachusetts;2/9/2019;81423;3513404
Massachusetts;02/16/2019;8139;3513404
Massachusetts;02/23/2019;8131;3513404
Massachusetts;3/2/2019;87694;3513404
Massachusetts;3/9/2019;80661;3513404
Massachusetts;03/16/2019;79574;3513404
Massachusetts;03/23/2019;78594;3513404
Massachusetts;03/30/2019;7733;3513404
Massachusetts;4/6/2019;70991;3513404
Massachusetts;04/13/2019;64489;3522163
Massachusetts;04/20/2019;59708;3522163
Massachusetts;04/27/2019;63183;3522163
Massachusetts;5/4/2019;55673;3522163
Massachusetts;5/11/2019;51771;3522163
Massachusetts;05/18/2019;50324;3522163
Massachusetts;05/25/2019;49699;3522163
Massachusetts;6/1/2019;49765;3522163
Massachusetts;6/8/2019;49537;3522163
Massachusetts;06/15/2019;49062;3522163
Massachusetts;06/22/2019;49746;3522163
Massachusetts;06/29/2019;55654;3522163
Massachusetts;7/6/2019;55823;3522163
Massachusetts;07/13/2019;59033;3535875
Massachusetts;07/20/2019;56826;3535875
Massachusetts;07/27/2019;57247;3535875
Massachusetts;8/3/2019;57903;3535875
Massachusetts;8/10/2019;56957;3535875
Massachusetts;08/17/2019;56914;3535875
Massachusetts;08/24/2019;56457;3535875
Massachusetts;08/31/2019;5613;3535875
Massachusetts;9/7/2019;51369;3535875
Massachusetts;09/14/2019;47123;3535875
Massachusetts;09/21/2019;44821;3535875
Massachusetts;09/28/2019;44648;3535875
Massachusetts;10/5/2019;45073;3535875
Massachusetts;10/12/2019;44168;3546144
Massachusetts;10/19/2019;4383;3546144
Massachusetts;10/26/2019;44131;3546144
Massachusetts;11/2/2019;4503;3546144
Massachusetts;11/9/2019;44786;3546144
Massachusetts;11/16/2019;463;3546144
Massachusetts;11/23/2019;4861;3546144
Massachusetts;11/30/2019;50099;3546144
Massachusetts;12/7/2019;5434;3546144
Massachusetts;12/14/2019;58027;3546144
Massachusetts;12/21/2019;61381;3546144
Massachusetts;12/28/2019;64273;3546144
Michigan;1/5/2019;70485;4256044
Michigan;1/12/2019;87582;4268378
Michigan;01/19/2019;82324;4268378
Michigan;01/26/2019;89907;4268378
Michigan;2/2/2019;77171;4268378
Michigan;2/9/2019;88223;4268378
Michigan;02/16/2019;81774;4268378
Michigan;02/23/2019;87042;4268378
Michigan;3/2/2019;78068;4268378
Michigan;3/9/2019;82469;4268378
Michigan;03/16/2019;76084;4268378
Michigan;03/23/2019;78958;4268378
Michigan;03/30/2019;70441;4268378
Michigan;4/6/2019;71366;4268378
Michigan;04/13/2019;60805;4277987
Michigan;04/20/2019;62658;4277987
Michigan;04/27/2019;51581;4277987
Michigan;5/4/2019;49314;4277987
Michigan;5/11/2019;42462;4277987
Michigan;05/18/2019;42602;4277987
Michigan;05/25/2019;40695;4277987
Michigan;6/1/2019;43562;4277987
Michigan;6/8/2019;4351;4277987
Michigan;06/15/2019;39142;4277987
Michigan;06/22/2019;3808;4277987
Michigan;06/29/2019;38722;4277987
Michigan;7/6/2019;40215;4277987
Michigan;07/13/2019;42764;4290558
Michigan;07/20/2019;5643;4290558
Michigan;07/27/2019;47122;4290558
Michigan;8/3/2019;4775;4290558
Michigan;8/10/2019;43046;4290558
Michigan;08/17/2019;43437;4290558
Michigan;08/24/2019;3915;4290558
Michigan;08/31/2019;3775;4290558
Michigan;9/7/2019;35946;4290558
Michigan;09/14/2019;35623;4290558
Michigan;09/21/2019;33799;4290558
Michigan;09/28/2019;32597;4290558
Michigan;10/5/2019;41252;4290558
Michigan;10/12/2019;40454;4298761
Michigan;10/19/2019;462;4298761
Michigan;10/26/2019;44957;4298761
Michigan;11/2/2019;48371;4298761
Michigan;11/9/2019;41868;4298761
Michigan;11/16/2019;39394;4298761
Michigan;11/23/2019;42811;4298761
Michigan;11/30/2019;46423;4298761
Michigan;12/7/2019;52801;4298761
Michigan;12/14/2019;52746;4298761
Michigan;12/21/2019;60861;4298761
Michigan;12/28/2019;59526;4298761
Minnesota;1/5/2019;66043;2828116
Minnesota;1/12/2019;63676;2832916
Minnesota;01/19/2019;60466;2832916
Minnesota;01/26/2019;60311;2832916
Minnesota;2/2/2019;62671;2832916
Minnesota;2/9/2019;68217;2832916
Minnesota;02/16/2019;61861;2832916
Minnesota;02/23/2019;60963;2832916
Minnesota;3/2/2019;60265;2832916
Minnesota;3/9/2019;61508;2832916
Minnesota;03/16/2019;58534;2832916
Minnesota;03/23/2019;57679;2832916
Minnesota;03/30/2019;55487;2832916
Minnesota;4/6/2019;54561;2832916
Minnesota;04/13/2019;49011;2841346
Minnesota;04/20/2019;46356;2841346
Minnesota;04/27/2019;42077;2841346
Minnesota;5/4/2019;3646;2841346
Minnesota;5/11/2019;33765;2841346
Minnesota;05/18/2019;29351;2841346
Minnesota;05/25/2019;27764;2841346
Minnesota;6/1/2019;27075;2841346
Minnesota;6/8/2019;27623;2841346
Minnesota;06/15/2019;26565;2841346
Minnesota;06/22/2019;26186;2841346
Minnesota;06/29/2019;2612;2841346
Minnesota;7/6/2019;2646;2841346
Minnesota;07/13/2019;30143;2849124
Minnesota;07/20/2019;26745;2849124
Minnesota;07/27/2019;26171;2849124
Minnesota;8/3/2019;25834;2849124
Minnesota;8/10/2019;2604;2849124
Minnesota;08/17/2019;25429;2849124
Minnesota;08/24/2019;24134;2849124
Minnesota;08/31/2019;23412;2849124
Minnesota;9/7/2019;23158;2849124
Minnesota;09/14/2019;22704;2849124
Minnesota;09/21/2019;22327;2849124
Minnesota;09/28/2019;21834;2849124
Minnesota;10/5/2019;2202;2849124
Minnesota;10/12/2019;22904;2853412
Minnesota;10/19/2019;22621;2853412
Minnesota;10/26/2019;23431;2853412
Minnesota;11/2/2019;24507;2853412
Minnesota;11/9/2019;27415;2853412
Minnesota;11/16/2019;31618;2853412
Minnesota;11/23/2019;38348;2853412
Minnesota;11/30/2019;39441;2853412
Minnesota;12/7/2019;50034;2853412
Minnesota;12/14/2019;4946;2853412
Minnesota;12/21/2019;53647;2853412
Minnesota;12/28/2019;54605;2853412
Mississippi;1/5/2019;9138;1103371
Mississippi;1/12/2019;8826;1104071
Mississippi;01/19/2019;8404;1104071
Mississippi;01/26/2019;8306;1104071
Mississippi;2/2/2019;8297;1104071
Mississippi;2/9/2019;7869;1104071
Mississippi;02/16/2019;7354;1104071
Mississippi;02/23/2019;7592;1104071
Mississippi;3/2/2019;7833;1104071
Mississippi;3/9/2019;7259;1104071
Mississippi;03/16/2019;7356;1104071
Mississippi;03/23/2019;7484;1104071
Mississippi;03/30/2019;7196;1104071
Mississippi;4/6/2019;6676;1104071
Mississippi;04/13/2019;6643;1104696
Mississippi;04/20/2019;6641;1104696
Mississippi;04/27/2019;6669;1104696
Mississippi;5/4/2019;7355;1104696
Mississippi;5/11/2019;7395;1104696
Mississippi;05/18/2019;7071;1104696
Mississippi;05/25/2019;7755;1104696
Mississippi;6/1/2019;9128;1104696
Mississippi;6/8/2019;9823;1104696
Mississippi;06/15/2019;10424;1104696
Mississippi;06/22/2019;10694;1104696
Mississippi;06/29/2019;11066;1104696
Mississippi;7/6/2019;10798;1104696
Mississippi;07/13/2019;12284;1105743
Mississippi;07/20/2019;11864;1105743
Mississippi;07/27/2019;11685;1105743
Mississippi;8/3/2019;115;1105743
Mississippi;8/10/2019;10993;1105743
Mississippi;08/17/2019;9288;1105743
Mississippi;08/24/2019;858;1105743
Mississippi;08/31/2019;8217;1105743
Mississippi;9/7/2019;7675;1105743
Mississippi;09/14/2019;743;1105743
Mississippi;09/21/2019;7353;1105743
Mississippi;09/28/2019;7096;1105743
Mississippi;10/5/2019;714;1105743
Mississippi;10/12/2019;6868;1107596
Mississippi;10/19/2019;6954;1107596
Mississippi;10/26/2019;6997;1107596
Mississippi;11/2/2019;717;1107596
Mississippi;11/9/2019;7041;1107596
Mississippi;11/16/2019;6974;1107596
Mississippi;11/23/2019;7124;1107596
Mississippi;11/30/2019;7123;1107596
Mississippi;12/7/2019;7935;1107596
Mississippi;12/14/2019;7493;1107596
Mississippi;12/21/2019;7989;1107596
Mississippi;12/28/2019;8121;1107596
Missouri;1/5/2019;31181;2732823
Missouri;1/12/2019;29832;2735238
Missouri;01/19/2019;28244;2735238
Missouri;01/26/2019;30092;2735238
Missouri;2/2/2019;32252;2735238
Missouri;2/9/2019;31428;2735238
Missouri;02/16/2019;29807;2735238
Missouri;02/23/2019;29357;2735238
Missouri;3/2/2019;29785;2735238
Missouri;3/9/2019;26777;2735238
Missouri;03/16/2019;25791;2735238
Missouri;03/23/2019;23273;2735238
Missouri;03/30/2019;23092;2735238
Missouri;4/6/2019;20567;2735238
Missouri;04/13/2019;18033;2738093
Missouri;04/20/2019;17337;2738093
Missouri;04/27/2019;16977;2738093
Missouri;5/4/2019;17642;2738093
Missouri;5/11/2019;17159;2738093
Missouri;05/18/2019;16818;2738093
Missouri;05/25/2019;17075;2738093
Missouri;6/1/2019;20153;2738093
Missouri;6/8/2019;20909;2738093
Missouri;06/15/2019;20814;2738093
Missouri;06/22/2019;21127;2738093
Missouri;06/29/2019;22521;2738093
Missouri;7/6/2019;22573;2738093
Missouri;07/13/2019;24323;2741528
Missouri;07/20/2019;23879;2741528
Missouri;07/27/2019;22468;2741528
Missouri;8/3/2019;23757;2741528
Missouri;8/10/2019;22333;2741528
Missouri;08/17/2019;20941;2741528
Missouri;08/24/2019;18467;2741528
Missouri;08/31/2019;17951;2741528
Missouri;9/7/2019;15894;2741528
Missouri;09/14/2019;15918;2741528
Missouri;09/21/2019;15719;2741528
Missouri;09/28/2019;16504;2741528
Missouri;10/5/2019;17954;2741528
Missouri;10/12/2019;17275;2745404
Missouri;10/19/2019;17598;2745404
Missouri;10/26/2019;17668;2745404
Missouri;11/2/2019;18273;2745404
Missouri;11/9/2019;16922;2745404
Missouri;11/16/2019;16753;2745404
Missouri;11/23/2019;18052;2745404
Missouri;11/30/2019;17388;2745404
Missouri;12/7/2019;20271;2745404
Missouri;12/14/2019;18912;2745404
Missouri;12/21/2019;19771;2745404
Missouri;12/28/2019;22484;2745404
Montana;1/5/2019;10527;447698
Montana;1/12/2019;10996;448795
Montana;01/19/2019;10825;448795
Montana;01/26/2019;11347;448795
Montana;2/2/2019;11301;448795
Montana;2/9/2019;11497;448795
Montana;02/16/2019;11853;448795
Montana;02/23/2019;11937;448795
Montana;3/2/2019;11842;448795
Montana;3/9/2019;12024;448795
Montana;03/16/2019;11601;448795
Montana;03/23/2019;10768;448795
Montana;03/30/2019;9979;448795
Montana;4/6/2019;9428;448795
Montana;04/13/2019;8096;450098
Montana;04/20/2019;7558;450098
Montana;04/27/2019;6498;450098
Montana;5/4/2019;5989;450098
Montana;5/11/2019;5609;450098
Montana;05/18/2019;5052;450098
Montana;05/25/2019;486;450098
Montana;6/1/2019;473;450098
Montana;6/8/2019;4692;450098
Montana;06/15/2019;446;450098
Montana;06/22/2019;4641;450098
Montana;06/29/2019;4808;450098
Montana;7/6/2019;4775;450098
Montana;07/13/2019;5319;451864
Montana;07/20/2019;4863;451864
Montana;07/27/2019;4786;451864
Montana;8/3/2019;4784;451864
Montana;8/10/2019;4652;451864
Montana;08/17/2019;4525;451864
Montana;08/24/2019;4387;451864
Montana;08/31/2019;4026;451864
Montana;9/7/2019;3557;451864
Montana;09/14/2019;3558;451864
Montana;09/21/2019;3557;451864
Montana;09/28/2019;3399;451864
Montana;10/5/2019;3668;451864
Montana;10/12/2019;399;45304
Montana;10/19/2019;4444;45304
Montana;10/26/2019;451;45304
Montana;11/2/2019;4754;45304
Montana;11/9/2019;5846;45304
Montana;11/16/2019;6248;45304
Montana;11/23/2019;6754;45304
Montana;11/30/2019;7016;45304
Montana;12/7/2019;887;45304
Montana;12/14/2019;866;45304
Montana;12/21/2019;9144;45304
Montana;12/28/2019;8894;45304
North Carolina;1/5/2019;18745;4277342
North Carolina;1/12/2019;21268;4299156
North Carolina;01/19/2019;2042;4299156
North Carolina;01/26/2019;22376;4299156
North Carolina;2/2/2019;2237;4299156
North Carolina;2/9/2019;22048;4299156
North Carolina;02/16/2019;2159;4299156
North Carolina;02/23/2019;21475;4299156
North Carolina;3/2/2019;20926;4299156
North Carolina;3/9/2019;20561;4299156
North Carolina;03/16/2019;18613;4299156
North Carolina;03/23/2019;20023;4299156
North Carolina;03/30/2019;19778;4299156
North Carolina;4/6/2019;19429;4299156
North Carolina;04/13/2019;19249;4318317
North Carolina;04/20/2019;18705;4318317
North Carolina;04/27/2019;18655;4318317
North Carolina;5/4/2019;1852;4318317
North Carolina;5/11/2019;18401;4318317
North Carolina;05/18/2019;18717;4318317
North Carolina;05/25/2019;1893;4318317
North Carolina;6/1/2019;19177;4318317
North Carolina;6/8/2019;19547;4318317
North Carolina;06/15/2019;19616;4318317
North Carolina;06/22/2019;1983;4318317
North Carolina;06/29/2019;20079;4318317
North Carolina;7/6/2019;1966;4318317
North Carolina;07/13/2019;20582;4338577
North Carolina;07/20/2019;20353;4338577
North Carolina;07/27/2019;20746;4338577
North Carolina;8/3/2019;20795;4338577
North Carolina;8/10/2019;2087;4338577
North Carolina;08/17/2019;20487;4338577
North Carolina;08/24/2019;20112;4338577
North Carolina;08/31/2019;19361;4338577
North Carolina;9/7/2019;18604;4338577
North Carolina;09/14/2019;18805;4338577
North Carolina;09/21/2019;18589;4338577
North Carolina;09/28/2019;18393;4338577
North Carolina;10/5/2019;18629;4338577
North Carolina;10/12/2019;18495;4362309
North Carolina;10/19/2019;18711;4362309
North Carolina;10/26/2019;18942;4362309
North Carolina;11/2/2019;19215;4362309
North Carolina;11/9/2019;18994;4362309
North Carolina;11/16/2019;19365;4362309
North Carolina;11/23/2019;19513;4362309
North Carolina;11/30/2019;18952;4362309
North Carolina;12/7/2019;19694;4362309
North Carolina;12/14/2019;19806;4362309
North Carolina;12/21/2019;20382;4362309
North Carolina;12/28/2019;19533;4362309
North Dakota;1/5/2019;5754;405169
North Dakota;1/12/2019;6102;405557
North Dakota;01/19/2019;6406;405557
North Dakota;01/26/2019;6532;405557
North Dakota;2/2/2019;6742;405557
North Dakota;2/9/2019;6941;405557
North Dakota;02/16/2019;7035;405557
North Dakota;02/23/2019;6853;405557
North Dakota;3/2/2019;6708;405557
North Dakota;3/9/2019;6498;405557
North Dakota;03/16/2019;6161;405557
North Dakota;03/23/2019;5891;405557
North Dakota;03/30/2019;5407;405557
North Dakota;4/6/2019;5013;405557
North Dakota;04/13/2019;4454;406719
North Dakota;04/20/2019;3757;406719
North Dakota;04/27/2019;327;406719
North Dakota;5/4/2019;2446;406719
North Dakota;5/11/2019;2217;406719
North Dakota;05/18/2019;2139;406719
North Dakota;05/25/2019;1803;406719
North Dakota;6/1/2019;1791;406719
North Dakota;6/8/2019;1989;406719
North Dakota;06/15/2019;197;406719
North Dakota;06/22/2019;1942;406719
North Dakota;06/29/2019;194;406719
North Dakota;7/6/2019;2093;406719
North Dakota;07/13/2019;2426;408192
North Dakota;07/20/2019;2157;408192
North Dakota;07/27/2019;2199;408192
North Dakota;8/3/2019;213;408192
North Dakota;8/10/2019;1975;408192
North Dakota;08/17/2019;1905;408192
North Dakota;08/24/2019;1802;408192
North Dakota;08/31/2019;2014;408192
North Dakota;9/7/2019;1816;408192
North Dakota;09/14/2019;1657;408192
North Dakota;09/21/2019;1528;408192
North Dakota;09/28/2019;1289;408192
North Dakota;10/5/2019;1249;408192
North Dakota;10/12/2019;1317;409901
North Dakota;10/19/2019;1311;409901
North Dakota;10/26/2019;1437;409901
North Dakota;11/2/2019;1623;409901
North Dakota;11/9/2019;201;409901
North Dakota;11/16/2019;2009;409901
North Dakota;11/23/2019;2503;409901
North Dakota;11/30/2019;2785;409901
North Dakota;12/7/2019;3334;409901
North Dakota;12/14/2019;3803;409901
North Dakota;12/21/2019;454;409901
North Dakota;12/28/2019;4729;409901
Nebraska;1/5/2019;7517;958635
Nebraska;1/12/2019;7741;958335
Nebraska;01/19/2019;7077;958335
Nebraska;01/26/2019;6974;958335
Nebraska;2/2/2019;7333;958335
Nebraska;2/9/2019;7498;958335
Nebraska;02/16/2019;7449;958335
Nebraska;02/23/2019;7409;958335
Nebraska;3/2/2019;7326;958335
Nebraska;3/9/2019;7263;958335
Nebraska;03/16/2019;7071;958335
Nebraska;03/23/2019;6899;958335
Nebraska;03/30/2019;6063;958335
Nebraska;4/6/2019;5078;958335
Nebraska;04/13/2019;4272;960218
Nebraska;04/20/2019;3822;960218
Nebraska;04/27/2019;3645;960218
Nebraska;5/4/2019;3305;960218
Nebraska;5/11/2019;3105;960218
Nebraska;05/18/2019;3204;960218
Nebraska;05/25/2019;3148;960218
Nebraska;6/1/2019;3337;960218
Nebraska;6/8/2019;3747;960218
Nebraska;06/15/2019;3891;960218
Nebraska;06/22/2019;3913;960218
Nebraska;06/29/2019;3908;960218
Nebraska;7/6/2019;427;960218
Nebraska;07/13/2019;4578;961261
Nebraska;07/20/2019;4006;961261
Nebraska;07/27/2019;3995;961261
Nebraska;8/3/2019;3939;961261
Nebraska;8/10/2019;3868;961261
Nebraska;08/17/2019;3803;961261
Nebraska;08/24/2019;3069;961261
Nebraska;08/31/2019;2756;961261
Nebraska;9/7/2019;3092;961261
Nebraska;09/14/2019;3023;961261
Nebraska;09/21/2019;2586;961261
Nebraska;09/28/2019;2237;961261
Nebraska;10/5/2019;2282;961261
Nebraska;10/12/2019;1689;963465
Nebraska;10/19/2019;2146;963465
Nebraska;10/26/2019;1984;963465
Nebraska;11/2/2019;1821;963465
Nebraska;11/9/2019;1683;963465
Nebraska;11/16/2019;1662;963465
